date,suburb,station,postcode,price
2025-07-25 01:20:11,Hoppers Crossing,BP Wyndham,3029,183.9
2025-07-25 01:20:11,Point Cook,7-Eleven Point Cook,3030,176.5
2025-07-25 01:20:11,Point Cook,Coles Express Sanctuary Lakes,3030,175.9
2025-07-25 01:20:11,Seabrook,BP Point Cook,3028,175.9
2025-07-25 01:20:11,Hoppers Crossing,EG Ampol Hoppers Crossing,3029,183.9
2025-07-25 01:20:11,Hoppers Crossing,7-Eleven Hoppers Crossing,3029,183.9
2025-07-25 01:20:11,Hoppers Crossing,APCO Hoppers Crossing,3030,161.9
2025-07-25 01:20:11,Tarneit,Coles Express Tarneit,3029,169.9
2025-07-25 01:20:11,Hoppers Crossing,7-Eleven Hoppers Crossing,3029,169.9
2025-07-25 01:20:11,Hoppers Crossing,United Hoppers Crossing,3029,175.9
2025-07-25 01:20:11,Hoppers Crossing,7-Eleven Hoppers Crossing,3029,173.9
2025-07-25 01:20:11,Truganina,7-Eleven Truganina,3029,165.7
2025-07-25 01:20:11,Truganina,United Truganina,3029,161.7
2025-07-25 01:20:11,Point Cook,United Point Cook,3030,173.5
2025-07-25 01:20:11,Truganina,Liberty Truganina,3029,161.7
2025-07-25 01:20:11,Truganina,Coles Express Williams Landing,3029,173.9
2025-07-25 01:20:11,Williams Landing,BP Williams Landing,3027,173.9
2025-07-25 01:20:11,Truganina,Metro Truganina,3029,164.5
2025-07-25 01:20:11,Truganina,Vibe Truganina,3029,165.7
2025-07-25 01:20:11,Truganina,BP Truganina South,3029,165.9
2025-07-25 01:20:11,Truganina,Ampol Truganina,3029,165.9
2025-07-25 01:20:11,Truganina,Coles Express Truganina,3029,164.9
2025-07-25 01:20:11,Truganina,BP Truganina,3029,165.9
2025-07-25 01:20:11,Derrimut,Ampol Robinsons Rd (Derrimut),3026,164.5
2025-07-25 01:20:11,Truganina,United Truganina North,3029,164.5
2025-07-25 01:20:11,Laverton,Coles Express Laverton,3028,175.9
2025-07-25 01:20:11,Altona Meadows,EG Ampol Altona Meadows,3028,175.9
